Molecule_name,Bioavailability,ACD_logS_Intrinsic,ACD_LogP,ACD_MW,ACD_PSA,ACD_FRB,ACD_Rule_Of_5,ACD_LogD_3,ACD_LogD_4,Num_H_Donors,Num_H_Acceptors,Num_H_total,Molecular_Volume,Molecular_SurfaceArea,RadOfGyration,ACD_LogD_2**2,ACD_LogD_3**2,ACD_MW**2,canonical_smiles
Rosuvastatin,20,-3.1700001,0.41999999,481.54001,149.3,12,0,-1.92,-2.71,3,8,11,307.67001,468.95999,4.9481068,0.90249997,3.6863999,231880.78,CC(C)c1c(c(nc(n1)[N@](C)S(=O)(=O)C)c2ccc(cc2)F)/C=C/[C@H](C[C@H](CC(=O)O)O)O
Metopimazine,20,-5.0100002,1.77,445.60001,117.39,6,0,-0.25999999,0.57999998,1,6,7,294.97,408.59,4.9506912,1.0201,0.067599997,198559.36,CS(=O)(=O)c1ccc2c(c1)N(c3ccccc3S2)CCCN4CCC(CC4)C(=O)N
Succimer,20,-1.58,1.9299999,182.22,152.2,5,0,-2.8199999,-2.8199999,4,6,10,110.44,181.05,2.3271022,7.1289005,7.9523997,33204.129,[C@H]([C@@H](C(=O)O)S)(C(=O)O)S
Auranofin,20,-2.28,1.95,364.37,153.23,10,0,1.74,1.16,1,10,11,236.66,358.63,3.6964562,3.7248998,3.0276,132765.5,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)S)OC(=O)C)OC(=O)C)OC(=O)C
Methapyrilene,20,-2.8399999,2.51,261.39001,47.610001,6,0,-0.19,0.51999998,0,3,3,186.92999,273.32999,3.5912473,0.28089997,0.0361,68324.742,CN(C)CCN(Cc1cccs1)c2ccccn2
Ximelagatran,21,-4.3400002,2.0799999,473.57001,143.85001,12,2,-0.0188,0.0219,5,7,12,324.13,468.75,5.8741388,0.096100003,0.00035344,224268.55,[H]/N=C(/c1ccc(cc1)CNC(=O)[C@@H]2CCN2C(=O)[C@@H](C3CCCCC3)NCC(=O)OCC)\NO
Medifoxamine,21,-3.03,3.6900001,257.32999,21.700001,6,0,2.75,3.4000001,0,3,3,183.84,265.01001,3.6962628,3.3124001,7.5625,66218.719,CN(C)CC(Oc1ccccc1)Oc2ccccc2
Streptozocin,21,-0.055199999,-1.33,265.22,151.92,7,2,-1.33,-1.34,5,8,13,159.14999,255.85001,3.2068264,1.7689002,1.7689002,70341.648,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O)N=O
Mianserin,22,-4.2600002,3.6700001,264.35999,6.48,0,0,2.5999999,3.29,0,2,2,185.56,255.28999,3.5640705,2.7888999,6.7599993,69886.203,C[N@]1CCN2c3ccccc3Cc4ccccc4[C@H]2C1
Mebendazole,22,-4.8800001,2.8299999,295.29001,84.080002,3,0,2.8199999,2.8199999,2,4,6,181.44,280.39001,4.8181138,7.5075998,7.9523997,87196.188,COC(=O)Nc1[nH]c2cc(ccc2n1)C(=O)c3ccccc3
Methylphenidate,22,-2.1700001,2.54,233.31,38.330002,4,0,-0.50999999,-0.28,1,3,4,165.66,234.96001,3.4584134,0.30250001,0.26009998,54433.555,COC(=O)[C@H](c1ccccc1)[C@H]2CCCCN2
Naltrexone,22,-2.9400001,1.8,341.39999,70,4,0,0.63,1.35,2,5,7,231.17999,294.59,3.6366911,0.090000004,0.3969,116553.95,c1cc(c2c3c1C[C@@H]4[C@]5([C@]3(CC[N@]4CC6CC6)[C@H](O2)C(=O)CC5)O)O
Isosorbide_dinitrate,22,-1.8200001,0.89999998,236.14,128.56,4,1,0.89999998,0.89999998,0,8,8,126.9,202.61,2.838639,0.80999994,0.80999994,55762.098,C1[C@@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-]
Verapamil,22,-10.7,12.77,444.73001,0,14,1,12.77,12.77,0,0,0,367.69,498.5,6.4528375,163.07291,163.07291,197784.78,CCC[C@@](CCC[C@H](C)CCc1ccc(c(c1)CC)CC)(C#C)c2ccc(c(c2)CC)CC
Bretylium,23,-0.12,-1.17,243.16,0,3,0,-1.17,-1.17,0,0,0,162.23,232.02,3.0130782,1.3688999,1.3688999,59126.789,CC[N+](C)(C)Cc1ccccc1Br
Atovaquone,23,-7.4699998,6.1700001,366.84,54.369999,3,1,4.6799998,3.8199999,1,3,4,239.07001,331.56,4.4151359,30.913599,21.902399,134571.58,c1ccc2c(c1)C(=O)C(=C(C2=O)O)C3CCC(CC3)c4ccc(cc4)Cl
Maraviroc,23,-5.4000001,3.5999999,513.66998,63.049999,8,1,0.62,1.05,1,4,5,361.51999,489.63,4.687665,0.25,0.38440001,263856.84,Cc1nnc(n1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](c4ccccc4)NC(=O)C5CCC(CC5)(F)F)C(C)C
Triamcinolone,23,-3.4300001,0.82999998,394.42999,115.06,6,0,0.82999998,0.82999998,4,6,10,263.42001,367.5,3.8623495,0.68889999,0.68889999,155575.02,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O
Triamcinolone_acetonide,23,-3.6900001,2.02,420.47,93.059998,4,0,2.02,2.02,2,6,8,285.03,382.42001,4.0220222,4.0804,4.0804,176795.02,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@H]53)F)O
Nicardipine,23,-5.3299999,4.1700001,493.54999,113.69,11,0,3.4400001,3.98,1,8,9,334.07999,499.91,5.3223538,6.0025001,11.8336,243591.59,Cc1cc(c(c(c1C(=O)OC)C2C=C(NC(=C2)C)C)C(=O)OCC[N@](C)Cc3ccccc3)[N+](=O)[O-]
Metergoline,23,-4.98,4.7199998,403.51999,46.5,5,0,2,2.7,1,3,4,276.45001,388.17001,5.4634943,2.7888999,4,162828.38,Cn1cc2c3c1cccc3[C@H]4C[C@H](C[N@@]([C@@H]4C2)C)CNC(=O)OCc5ccccc5
Valsartan,23,-5.4000001,4.7399998,435.51999,112.07,10,0,0.2,0.0147,2,6,8,297.72,439.48001,4.6926103,1.7689002,0.040000003,189677.66,CCCCC(=O)N(Cc1ccc(cc1)c2ccccc2c3[nH]nnn3)[C@@H](C(C)C)C(=O)O
Hydralazine,23,-0.69999999,0.28999999,160.17999,63.830002,1,0,0.20999999,0.28,2,4,6,103.24,156.53,2.8274117,0.032400001,0.044099998,25657.631,c1ccc2c(c1)cnnc2NN
Morphine,24,-1.67,0.43000001,285.34,52.93,2,0,-1.21,-0.40000001,2,4,6,192.07001,252.12,3.2930088,4.3680997,1.4641001,81418.914,C[N@@]1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](C=C[C@H]3[C@H]1C5)O)O
Doxylamine,24.700001,-2.0699999,2.52,270.37,25.360001,6,0,0.31,1.15,0,3,3,198.25,290.85999,3.7511964,0.1444,0.096100003,73099.938,C[C@](c1ccccc1)(c2ccccn2)OCCN(C)C
Phenoxybenzamine,25,-4.02,4.7800002,303.82999,12.47,8,0,4.4400001,4.7199998,0,2,2,214.71001,303.48001,4.3180227,13.468901,19.7136,92312.664,C[C@H](COc1ccccc1)[N@@](CCCl)Cc2ccccc2
Clomethiazole,25,-2.0899999,1.5599999,161.64999,41.130001,2,0,1.5599999,1.5599999,0,1,1,109.07,157.41,2.4865301,2.4024999,2.4335997,26130.721,Cc1c(scn1)CCCl
Miconazole,25,-5.73,5.9299998,416.13,27.049999,6,1,5.5500002,5.8600001,0,2,2,258.26999,367.87,4.0931368,22.657602,30.802502,173164.19,c1cc(c(cc1Cl)Cl)CO[C@H](Cn2ccnc2)c3ccc(cc3Cl)Cl
Chlorpromazine,25,-5.2600002,4.8200002,318.85999,31.780001,4,0,2.1500001,2.8699999,0,3,3,223.28999,303.04001,3.9658792,3.1683998,4.6225004,101671.69,CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl
Benzthiazide,25,-5.1799998,2.22,431.94,151.96001,5,0,2.22,2.21,1,6,7,247.64,363.62,5.2441845,4.9284,4.9284,186572.17,c1ccc(cc1)CSCN2C=Nc3cc(c(cc3S2(=O)=O)S(=O)(=O)N)Cl
Perindopril,25,-2.8599999,3.3599999,368.47,95.940002,9,0,0.43000001,-0.15000001,2,6,8,264.10001,374.69,4.2735429,1.3455999,0.1849,135770.14,CCC[C@@H](C(=O)OCC)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O
Phenacetin,25,-1.9400001,1.63,179.22,38.330002,3,0,1.63,1.63,1,2,3,124.85,189.42,3.7803068,2.6568999,2.6568999,32119.809,CCOc1ccc(cc1)NC(=O)C
Tacrolimus,25,-4.1599998,3.96,804.02002,178.36,10,2,3.96,3.96,3,12,15,581.38,818.44,6.2245555,15.681601,15.681601,646448.19,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC
Ergoloid mesylate,25,-5.2800002,4.3800001,591.73999,118.21,6,2,2.0799999,2.9000001,3,6,9,411.94,568.45001,5.2333698,2.1316001,4.3263998,350156.22,CCC(C)(C)[C@@H]1C(=O)N2CCC[C@@H]2[C@]3(N1C(=O)[C@@](O3)(C(C)C)NC(=O)[C@@H]4C[C@@H]5c6cccc7c6c(c[nH]7)C[C@H]5[N@@](C4)C)O
Progesterone,25,-4.6700001,4.04,314.45999,34.139999,1,0,4.04,4.04,0,2,2,236.32001,313.60001,3.726223,16.3216,16.3216,98885.086,CC(=O)[C@@H]1CC[C@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
Pentoxifylline,25,-1.48,0.31999999,278.31,75.510002,5,0,0.31999999,0.31999999,0,4,4,186.24001,289.64999,4.2235875,0.1024,0.1024,77456.453,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(c1=O)C
Sodium_oxybate,25,0.68000001,-0.69999999,104.1,57.529999,4,0,-2.55,-3.4100001,2,3,5,66.879997,116.14,2.1831927,2.5600002,6.5024996,10836.81,C(CC(=O)O)CO
Lisinopril,25,-1.83,1.1900001,405.48999,132.96001,13,1,-1.4299999,-1.8,4,7,11,280.23001,409.79999,4.7361221,1.7689002,2.0448999,164422.13,c1ccc(cc1)CC[C@@H](C(=O)O)N[C@@H](CCCCN)C(=O)N2CCC[C@H]2C(=O)O
Perindoprilat,25,-2.1900001,2.3699999,340.41,106.94,7,0,-1.17,-1.37,3,6,9,236.32001,340.17001,3.8053463,1.1881001,1.3688999,115878.97,CCC[C@H](C(=O)O)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)O
Mesalazine,25,-0.98000002,0.46000001,153.14,83.550003,3,0,-2.54,-2.6700001,3,4,7,93.629997,153.92999,2.6676714,4.7961001,6.4515996,23451.859,c1cc(c(cc1N)C(=O)O)O
Labetalol,25,-2.8099999,2.3099999,328.41,95.580002,10,1,-0.16,0.56,4,4,8,226.03,336.32001,5.1889315,0.43560004,0.025599999,107853.13,C[C@@H](CCc1ccccc1)NC[C@@H](c2ccc(c(c2)C(=O)N)O)O
Spironolactone,25,-5.3400002,3.1199999,416.57001,85.739998,2,0,3.1199999,3.1199999,0,5,5,295.66,389.57999,3.8662815,9.7343988,9.7343988,173530.58,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C
Lincomycin,25,-1.51,0.91000003,406.54001,147.78999,11,1,-1.04,-0.2,5,8,13,282.63,408.98001,4.7039309,3.3124001,1.0816,165274.78,CCC[C@@H]1C[C@@H]([N@](C1)C)C(=O)N[C@@H]([C@@H]2[C@@H]([C@@H]([C@H]([C@H](O2)SC)O)O)O)[C@H](C)O
Promethazine,25,-4.4200001,3.77,284.42001,31.780001,3,0,1.47,2.29,0,3,3,206.48,281.01999,3.7001109,0.72250003,2.1609001,80894.742,C[C@H](CN1c2ccccc2Sc3c1cccc3)N(C)C
Olmesartan,26,-6.77,5.2399998,558.59003,154.34,12,3,3.4300001,3.27,2,10,12,364.26001,538.04999,5.5799403,15.9201,11.7649,312022.81,CCCc1nc(c(n1Cc2ccc(cc2)c3ccccc3c4n[nH]nn4)C(=O)OCc5c(oc(=O)o5)C)C(C)(C)O
Glucosamine,26,0.75,-2.0899999,179.17,116.17,6,1,-4.0500002,-3.2,5,6,11,115.24,179.48,2.4440389,23.328899,16.402502,32101.889,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)N)O)O)O
Cilazaprilat,26,-2.1300001,-0.15000001,389.45001,110.18,7,0,-3.6900001,-3.95,3,7,10,255.87,371.5,4.6287489,12.8164,13.6161,151671.31,c1ccc(cc1)CC[C@@H](C(=O)O)N[C@H]2CCC[N@]3CCC[C@H](N3C2=O)C(=O)O
Propranolol,26,-2.8800001,3.1600001,243.34,32.259998,5,0,0.41999999,1.1,2,2,4,184.19,255.16,3.5597026,0.0121,0.17639999,59214.355,C[C@@H]([C@@H](c1cccc2c1cccc2)O)NC(C)C
Tolterodine,26,-4.54,5.77,325.48999,23.469999,8,1,2.71,2.9100001,1,2,3,254.16,354.37,4.1678748,7.1289005,7.3441,105943.73,Cc1ccc(c(c1)[C@H](CCN(C(C)C)C(C)C)c2ccccc2)O
Pipotiazine,26,-5.0599999,3.6099999,475.67001,97.769997,9,0,0.94,1.66,1,6,7,325.16,448.25,5.3162322,0.3249,0.8836,226261.97,CN(C)S(=O)(=O)c1ccc2c(c1)N(c3ccccc3S2)CCCN4CCC(CC4)CCO
Vinorelbine,27,-4.2199998,4.6900001,778.92999,133.87,11,2,4.0500002,4.5500002,2,11,13,537.47998,741.54999,5.2859554,8.5849009,16.402502,606731.94,CCC1=C[C@@H]2CC(c3c(c4ccccc4[nH]3)C[N@@](C2)C1)(c5cc6c(cc5OC)N([C@@H]7[C@]68CC[N@@]9[C@H]8[C@@](C=CC9)([C@H]([C@@]7(C(=O)OC)O)OC(=O)C)CC)C)C(=O)OC
Encainide,27,-4.73,4.3499999,352.47,41.57,6,0,1.48,2.0599999,1,3,4,250.73,356.62,4.2890892,1.6384,2.1904001,124235.1,C[N@@]1CCCC[C@H]1CCc2ccccc2NC(=O)c3ccc(cc3)OC
Scopolamine,27,-2.0899999,0.75999999,303.35001,62.299999,6,0,-0.75,0.054099999,1,5,6,205.45,279.85999,3.913651,2.7224998,0.5625,92021.227,CN1[C@@H]2CC(C[C@@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)c4ccccc4
Frovatriptan,27,-2.23,0.85000002,243.3,70.910004,2,0,-2.21,-2.02,3,2,5,164.63,241.09,3.8358026,5.0625,4.8841,59194.891,CN[C@@H]1CCc2c(c3cc(ccc3[nH]2)C(=O)N)C1
Sulpiride,27,-1.98,0.64999998,341.42999,110.11,6,0,-2.3299999,-1.89,2,5,7,228.78,332.67999,4.4514513,5.9536004,5.4288998,116574.44,CC[N@]1CC[C@@H](C1)CNC(=O)c2cc(ccc2OC)S(=O)(=O)N
Venlafaxine,27.5,-2.29,2.9100001,277.39999,32.700001,6,0,0.41,1.1900001,1,3,4,210.94,299.51001,3.7949862,0.00574564,0.1681,76950.758,CN(C)C[C@H](c1ccc(cc1)OC)C2(CCCCC2)O
Bromocriptine,28,-5.6700001,2.3,638.64001,84.989998,5,1,1.74,2.1800001,2,5,7,426,561.31,5.7142406,0.75690001,3.0276,407861.06,CC(C)C[C@H]1C(=O)N2CCC[C@@H]2[C@@H]3N1C(=O)[C@@H]([C@H]3C(C)C)NC(=O)[C@H]4C[N@@]([C@H]5C[C@@H]6c7c(cccc7N[C@H]6Br)C5=C4)C
Paliperidone,28,-3.99,1.52,426.48001,82.169998,5,0,0.18000001,0.95999998,1,5,6,282.28,397.57001,5.5386019,0.54760003,0.032400001,181885.2,Cc1c(c(=O)n2c(n1)[C@@H](CCC2)O)CCN3CCC(CC3)c4c5ccc(cc5on4)F
Papaverine,28,-4.2800002,3.74,339.39001,49.810001,6,0,3.52,3.71,0,5,5,234.61,342.67001,4.1558399,8.2368994,12.3904,115185.59,COc1ccc(cc1OC)Cc2c3cc(c(cc3ccn2)OC)OC
Idarubicin,28,-4.7800002,2.95,497.48999,176.61,8,2,0.83999997,1.47,5,10,15,317.26999,459.81,4.8981566,0.0196,0.70559996,247496.3,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5ccccc5C4=O)O)(C(=O)C)O)N)O
Buprenorphine,28,-4.2199998,3.4300001,467.64001,62.16,7,0,1.63,2.46,2,5,7,346.42001,447.39001,4.1293755,0.64000005,2.6568999,218687.19,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CC[N@]([C@@H]3Cc6c5c(c(cc6)O)O4)CC7CC7)OC)(C(C)(C)C)O
Dydrogesterone,28,-4.4099998,3.5799999,312.45001,34.139999,1,0,3.5799999,3.5799999,0,2,2,234.25999,309.5,3.7900243,12.8164,12.8164,97625.008,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=CC4=CC(=O)CC[C@]34C)C
Zimeldine,29,-3.1600001,4.6300001,317.22,16.129999,4,0,3.21,4,0,2,2,198.59,289.91,3.680373,5.1075997,10.3041,100628.53,CN(C)C/C=C(/c1ccc(cc1)Br)\c2cccnc2
Benztropine,29,-4.2399998,4.96,307.42999,12.47,4,0,1.91,2.1400001,0,2,2,217.8,295.39999,4.0761371,3.4969001,3.6480999,94513.203,CN1[C@@H]2CC[C@H]1CC(C2)OC(c3ccccc3)c4ccccc4
Lipoic Acid,29,-3,2.1600001,206.33,87.900002,5,0,0.40000001,-0.46000001,1,4,5,142.34,198.57001,3.4916697,1.7956001,0.16000001,42572.07,C1CSS[C@@H]1CCCCC(=O)O
Chlortetracycline,30,-4.3000002,-0.33000001,478.88,181.62,7,2,-2.95,-3.3599999,6,9,15,296.69,445.51001,4.2586298,8.1795998,8.7025003,229326.06,C[C@]1(c2c(ccc(c2C(=O)C3=C([C@]4([C@@H](C[C@@H]31)[C@@H](C(=C(C4=O)C(=O)N)O)N(C)C)O)O)O)Cl)O
Lorcainide,30,-4.29,4.9000001,370.92001,23.549999,5,0,2.3499999,3.1300001,0,2,2,258.26999,366,4.5306921,3.6099999,5.5224996,137581.66,CC(C)N1CCC(CC1)N(c2ccc(cc2)Cl)C(=O)Cc3ccccc3
Nilotinib,30,-6.6199999,5.1500001,529.52002,97.620003,5,2,5.0799999,5.1399999,2,6,8,327.22,485.14999,6.583005,22.184101,25.806398,280391.44,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F
Nadolol,30,-1.96,1.29,309.39999,81.949997,9,0,-1.3099999,-0.55000001,4,5,9,223.63,323.94,4.8929462,2.9929001,1.7160999,95728.359,CC(C)(C)NC[C@@H](COc1cccc2c1C[C@@H]([C@@H](C2)O)O)O
Propoxyphene,30,-4.4099998,5.4400001,339.47,29.540001,9,1,2.8900001,3.6600001,0,3,3,255.87,362.44,3.8292513,5.9536004,8.3521004,115239.88,CCC(=O)O[C@](Cc1ccccc1)(c2ccccc2)[C@H](C)CN(C)C
Doxepin,30,-3.4400001,3.0999999,281.39001,12.47,4,0,0.27000001,0.88999999,0,2,2,207.85001,287.20001,4.0623226,0.00099855987,0.072900005,79180.344,CN(C)CCC[C@H]1c2ccccc2COc3c1cccc3
Noscapine,30,-4.3499999,2.8299999,413.42001,75.690002,4,0,2.6099999,2.79,0,8,8,271.98999,383.47,4.2598019,3.8025002,6.8120995,170916.11,C[N@]1CCc2cc3c(c(c2[C@@H]1[C@@H]4c5ccc(c(c5C(=O)O4)OC)OC)OC)OCO3
Terguride,30,-3.51,3.3099999,340.45999,51.369999,3,0,0.69,1.4400001,2,2,4,241.47,340.70001,4.5036302,0.084099993,0.4761,115913.01,CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4c3c(c[nH]4)C[C@H]2[N@@](C1)C
Biperiden,30,-3.8499999,4.0100002,311.45999,23.469999,6,0,1.13,1.71,1,2,3,230.83,301.39999,4.028295,0.8836,1.2768999,97007.328,c1ccc(cc1)[C@@](CCN2CCCCC2)([C@@H]3C[C@@H]4C[C@H]3C=C4)O
Lynestrenol,30,-5.8000002,5.8299999,284.44,20.23,1,1,5.8299999,5.8299999,1,1,2,211.97,275.79001,3.6432149,33.988899,33.988899,80906.117,C[C@]12CC[C@@H]3[C@@H]([C@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@@H]34
Ritodrine,30,-1.6799999,1.61,287.35001,72.720001,9,0,-1.03,-0.30000001,4,4,8,201.34,289.76999,3.9898665,2.0163999,1.0609,82570.023,C[C@@H]([C@@H](c1ccc(cc1)O)O)NCCc2ccc(cc2)O
Dosulepin,30,-4.0799999,4.3400002,295.44,28.540001,3,0,1.83,2.6099999,0,2,2,217.11,295.60001,3.9075825,1.8225001,3.3489001,87284.797,CN(C)CC/C=C\1/c2ccccc2CSc3c1cccc3
Nafcillin,30,-4.9099998,3.52,414.47,124.07,5,0,-0.082599998,-0.20999999,2,6,8,268.56,387.62,4.5751233,0.2209,0.0068227598,171785.38,CCOc1ccc2ccccc2c1C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
Thioguanine,30,-2.78,-0.16,167.19,111.18,0,0,-0.16,-0.16,3,5,8,94.32,156.95,2.5763083,0.025599999,0.025599999,27952.496,c1[nH]c2c(n1)[nH]c(nc2=S)N
Nicotine,30,-0.56,0.72000003,162.23,16.129999,1,0,-1.3099999,-0.47,0,2,2,118.33,170.5,2.8754737,4.2848997,1.7160999,26318.572,C[N@@]1CCC[C@H]1c2cccnc2
Pivampicillin,30.9,-3.53,1.88,463.54999,153.33,10,0,1.47,1.8,2,8,10,313.14999,462.07999,5.5569606,0.43560004,2.1609001,214878.59,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](c3ccccc3)N)C(=O)OCOC(=O)C(C)(C)C)C
Zaleplon,31,-3.5799999,0.87,305.32999,74.290001,3,0,0.87,0.87,0,4,4,199.28,306.98001,4.0085211,0.75690001,0.75690001,93226.398,CCN(c1cccc(c1)c2ccnc3n2ncc3C#N)C(=O)C
Quazepam,32,-5.7800002,4.1100001,386.79001,47.689999,2,0,4.1100001,4.1100001,0,2,2,222.94,326.13,3.7491145,16.892101,16.892101,149606.52,c1ccc(c(c1)C2=NCC(=S)N(c3c2cc(cc3)Cl)CC(F)(F)F)F
Silodosin,32,-3.6700001,2.3299999,495.53,97.050003,14,0,-0.0272,0.81999999,3,6,9,326.19,471.88,6.5351067,0.64000005,0.00073984003,245549.98,C[C@H](Cc1cc2c(c(c1)C(=O)N)N(CC2)CCCO)NCCOc3ccccc3OCC(F)(F)F
Topotecan,32,-1.58,1.39,421.45001,103.2,5,0,0.15000001,0.75999999,2,7,9,275.07999,399,5.0551391,0.5625,0.022500001,177620.11,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccc(c(c5c4)CN(C)C)O)O
Rosaramicin,32,-1.87,1.08,581.73999,135.13,8,2,-0.47999999,0.34,2,10,12,419.82999,598.27002,4.7905726,1.8769,0.2304,338421.41,CC[C@@H]1[C@H]([C@H]2[C@@](O2)(/C=C\C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)CC=O)C)C)C
Prenalterol,33,-0.81999999,1.04,225.28,61.720001,8,0,-1.59,-0.85000002,3,4,7,158.46001,238.73,4.1691008,3.9204001,2.5281,50751.078,CC(C)NC[C@@H](COc1ccc(cc1)O)O
Yohimbine,33,-2.6099999,2.29,356.42001,74.790001,3,0,0.56,1.39,2,5,7,232.89,325.82001,4.2099099,0.084099993,0.3136,127035.23,COC(=O)[C@H]1[C@@H]2C[C@@H]3c4c(c5ccccc5[nH]4)CC[N@@]3C[C@H]2CO[C@H]1O
Methotrexate,33,-4.1799998,-0.23999999,454.44,210.53999,9,2,-4.7399998,-4.9499998,5,12,17,276.10999,449.95001,6.0831289,14.6689,22.467598,206515.72,CN(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O
Moxestrol,33,-4.6599998,3.6400001,326.42999,49.689999,3,0,3.6400001,3.6400001,2,3,5,231.86,314.85999,3.7745469,13.2496,13.2496,106556.54,C[C@]12C[C@@H]([C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@]2(C#C)O)O)OC
Oxacillin,33,-3.75,2.05,401.44,138.03999,4,0,-1.55,-1.67,2,6,8,252.10001,373.53,4.6644425,1,2.4024999,161154.08,Cc1c(c(no1)c2ccccc2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
Propiomazine,33,-5.4200001,4.8600001,340.48001,48.849998,5,0,2.52,3.3399999,0,4,4,245.92999,341.32999,3.8899219,3.7248998,6.3504,115926.64,CCC(=O)c1ccc2c(c1)N(c3ccccc3S2)C[C@@H](C)N(C)C
Azithromycin,34,-0.54000002,3.3299999,748.97998,180.08,12,3,-0.15000001,1.4,5,14,19,555.65002,796.17999,5.3901701,0.54760003,0.022500001,560971,CC[C@@H]1[C@@]([C@@H]([C@H]([N@@](C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
Tranexamic_acid,34,-0.47999999,0.31999999,157.21001,63.32,3,0,-2.1900001,-2.1900001,2,3,5,111.13,167.23,2.792228,5.0625,4.7961001,24714.986,C1CC(CCC1CN)C(=O)O
Ketobemidone,34,-1.4,1.58,247.33,40.540001,4,0,-0.38999999,0.44999999,1,3,4,182.13,259.79999,3.4107809,1.3688999,0.15209998,61172.129,CCC(=O)C1(CCN(CC1)C)c2cccc(c2)O
Amsalog,34,-4.25,0.46000001,464.54001,117.8,5,0,0.44,0.46000001,3,6,9,295.66,435.42999,5.163671,0.090000004,0.1936,215797.42,Cc1cccc2c1nc3c(c2Nc4ccc(cc4OC)NS(=O)(=O)C)cccc3C(=O)NC
Norfloxacin,35,-3.3499999,1.48,319.32999,72.879997,3,0,-0.93000001,-0.98000002,2,6,8,207.50999,299.34,4.1196537,1.1235999,0.86489999,101971.64,CCn1cc(c(=O)c2c1cc(c(c2)F)N3CCNCC3)C(=O)O
Nabumetone,35,-3.4200001,2.8199999,228.28999,26.299999,4,0,2.8199999,2.8199999,0,2,2,162.58,234.69,4.2232847,7.9523997,7.9523997,52116.32,CC(=O)CCc1ccc2cc(ccc2c1)OC
Diacetolol,35,-2.8699999,0.81,378.45999,95.940002,11,0,-1.73,-0.95999998,2,6,8,273.37,404.16,5.3106084,4.7961001,2.9929001,143231.97,CCCC(=O)N(c1ccc(c(c1)C(=O)C)OC[C@@H](CNC(C)C)O)C(=O)C
